source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
beta1252,bima1247,[0.6854],[0.0528],[0.7894],[0.7384],[0.631],[0.7748],[0.8143]
beta1252,indo1316,[0.3217],[0.0133],[0.5448],[0.3918],[0.3333],[0.4849],[0.5335]
beta1252,java1254,[0.6854],[0.0313],[0.5348],[0.5],[0.4407],[0.5103],[0.427]
beta1252,nucl1460,[0.5641],[0.0274],[0.5729],[0.5182],[0.3333],[0.5278],[0.4576]
beta1252,maka1311,[0.7149],[0.0581],[0.5855],[0.3224],[0.2804],[0.5083],[0.6373]
beta1252,mina1268,[0.3217],[0.0681],[0.5411],[0.3671],[0.3333],[0.4612],[0.4034]
beta1252,sund1252,[0.5641],[0.0032],[0.4502],[0.4259],[0.2804],[0.4377],[0.5058]
bima1247,beta1252,[0.6854],[0.0528],[0.7894],[0.7384],[0.631],[0.7748],[0.8143]
bima1247,indo1316,[0.6854],[0.0399],[0.7746],[0.6746],[0.5641],[0.7457],[0.7976]
bima1247,java1254,[0.5903],[0.0501],[0.7787],[0.6179],[0.5641],[0.7348],[0.8058]
bima1247,nucl1460,[0.5903],[0.0257],[0.7829],[0.6391],[0.5641],[0.7413],[0.7976]
bima1247,maka1311,[0.631],[0.0148],[0.7916],[0.6981],[0.5859],[0.7536],[0.7465]
bima1247,mina1268,[0.6854],[0.1152],[0.7894],[0.6839],[0.5641],[0.7547],[0.7896]
bima1247,sund1252,[0.5903],[0.0518],[0.7546],[0.6885],[0.5859],[0.7369],[0.782]
indo1316,beta1252,[0.3217],[0.0133],[0.5448],[0.3918],[0.3333],[0.4849],[0.5335]
indo1316,bima1247,[0.6854],[0.0399],[0.7746],[0.6746],[0.5641],[0.7457],[0.7976]
java1254,beta1252,[0.6854],[0.0313],[0.5348],[0.5],[0.4407],[0.5103],[0.427]
java1254,bima1247,[0.5903],[0.0501],[0.7787],[0.6179],[0.5641],[0.7348],[0.8058]
nucl1460,beta1252,[0.5641],[0.0274],[0.5729],[0.5182],[0.3333],[0.5278],[0.4576]
nucl1460,bima1247,[0.5903],[0.0257],[0.7829],[0.6391],[0.5641],[0.7413],[0.7976]
maka1311,beta1252,[0.7149],[0.0581],[0.5855],[0.3224],[0.2804],[0.5083],[0.6373]
maka1311,bima1247,[0.631],[0.0148],[0.7916],[0.6981],[0.5859],[0.7536],[0.7465]
mina1268,beta1252,[0.3217],[0.0681],[0.5411],[0.3671],[0.3333],[0.4612],[0.4034]
mina1268,bima1247,[0.6854],[0.1152],[0.7894],[0.6839],[0.5641],[0.7547],[0.7896]
sund1252,beta1252,[0.5641],[0.0032],[0.4502],[0.4259],[0.2804],[0.4377],[0.5058]
sund1252,bima1247,[0.5903],[0.0518],[0.7546],[0.6885],[0.5859],[0.7369],[0.782]
